author,month,no_of_ratings,opinions,position,rating,readers,title
Simon Beckett,8/2020,17954,1872,61,"7,7",30917,Chemia śmierci
Wojciech Chmielarz,8/2020,10978,1706,62,"7,4",18288,Żmijowisko
Cora Reilly,8/2020,77,6,63,"8,2",772,Złączeni przeszłością
Sarah J. Maas,8/2020,8186,1011,64,"7,8",15770,Dwór cierni i róż
Anna Dziewit-Meller,8/2020,764,122,65,"7,6",1828,Od jednego Lucypera
Jakub Małecki,8/2020,3936,678,66,"7,9",7544,Horyzont
Stieg Larsson,8/2020,41584,3349,67,"8,2",67995,"Mężczyźni, którzy nienawidzą kobiet"
Nassim Nicholas Taleb,8/2020,723,98,68,"7,4",4242,Czarny łabędź. Jak nieprzewidywalne zdarzenia rządzą naszym życiem
Zygmunt Miłoszewski,8/2020,7355,971,69,"7,3",12382,Bezcenny
Sarah J. Maas,8/2020,10436,1161,70,"7,7",21143,Szklany tron
Jordan Peterson,8/2020,952,136,71,"7,8",5012,12 życiowych zasad. Antidotum na chaos
Dan Simmons,8/2020,374,108,72,"7,3",1898,Abominacja
Jojo Moyes,8/2020,20351,2787,73,"8,0",36120,Zanim się pojawiłeś
Rebecca F. Kuang,8/2020,2084,378,74,"7,6",5847,Wojna makowa
Klaudia Muniak,8/2020,523,216,75,"7,5",2207,Nie ufam już nikomu
Andrzej Ziemiański,8/2020,535,183,76,"6,5",1061,Cyberpunk. Odrodzenie
Meg Adams,8/2020,1046,232,77,"7,6",1924,Ochroniarz
Yuval Noah Harari,8/2020,3152,330,78,"8,0",10957,Homo deus. Krótka historia jutra
Kylie Scott,8/2020,304,74,79,"7,2",574,A miało być tak pięknie
Yuval Noah Harari,8/2020,3298,339,80,"7,7",11372,21 lekcji na XXI wiek
Sarah Brianne,7/2020,1227,206,61,"7,3",2454,Nero
Sarah J. Maas,7/2020,10436,1161,62,"7,7",21143,Szklany tron
Sally Hepworth,7/2020,499,122,63,"7,4",1102,Teściowa
Szczepan Twardoch,7/2020,8204,1247,64,"7,8",14616,Król
Milan Kundera,7/2020,11483,636,65,"7,9",27375,Nieznośna lekkość bytu
Laura Kneidl,7/2020,535,166,66,"7,4",1405,Someone new
Rachel Abbott,7/2020,581,141,67,"7,4",1247,Gra w morderstwo
Paulina Świst,7/2020,1330,235,68,"7,3",2135,Przekręt
Taylor Jenkins Reid,7/2020,1072,232,69,"7,6",2201,Daisy Jones & The Six
R.L. Mathewson,7/2020,741,123,70,"6,9",1341,Rozgrywka z sąsiadem
Cora Reilly,7/2020,878,137,71,"7,8",1789,Złączeni miłością
Elena Ferrante,7/2020,4053,471,72,"7,5",9341,Genialna przyjaciółka
Holly Black,7/2020,3728,506,73,"7,4",7918,Okrutny książę
Penelope Ward,8/2020,768,139,21,"7,4",1580,"Dzień, w którym powrócił"
Alix E. Harrow,7/2020,398,109,74,"7,2",2352,Dziesięć tysięcy drzwi
Alicja Sinicka,7/2020,1076,310,75,"7,3",2028,Obserwatorka
Harlan Coben,7/2020,3806,1201,76,"7,6",29432,Nie mów nikomu
Wojciech Chmielarz,7/2020,10978,1706,77,"7,4",18288,Żmijowisko
